datetime,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)",RADIACAO GLOBAL (Kj/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)","UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, RAJADA MAXIMA (m/s)"
2021-01-26 16:00:00,0.0,1786.4,28.4,88.0,3.7
2021-01-26 17:00:00,0.0,2188.9,28.9,74.0,3.9
2021-01-31 18:00:00,0.0,2296.3,28.5,81.0,5.1
2021-02-01 12:00:00,0.0,1061.6,29.3,67.0,3.5
2021-02-03 12:00:00,0.0,1683.2,28.6,80.0,2.0
2021-02-05 12:00:00,0.0,943.0,26.1,100.0,2.3
2021-02-05 13:00:00,0.0,1286.1,26.8,80.0,4.0
2021-02-05 15:00:00,0.0,469.4,26.0,100.0,5.6
2021-02-05 19:00:00,1.2,234.2,23.1,100.0,3.5
2021-02-06 13:00:00,0.0,2468.6,26.7,69.0,4.1
2021-02-06 14:00:00,0.0,2823.3,28.1,65.0,5.0
2021-02-06 15:00:00,0.0,3579.9,27.8,63.0,5.3
2021-02-06 16:00:00,0.0,2813.2,26.9,61.0,6.1
2021-02-06 17:00:00,0.0,2957.7,28.4,59.0,5.1
2021-02-06 18:00:00,0.0,3268.9,28.1,58.0,5.3
2021-02-06 19:00:00,0.0,2235.5,27.7,60.0,5.4
2021-02-06 20:00:00,0.0,791.2,26.6,63.0,5.3
2021-02-07 13:00:00,0.0,2346.9,25.9,68.0,3.6
2021-02-07 14:00:00,0.0,1650.9,26.7,64.0,3.7
2021-02-07 15:00:00,0.0,3402.1,26.8,64.0,5.1
2021-02-07 16:00:00,0.0,2568.0,26.7,65.0,5.5
2021-02-07 17:00:00,0.0,3304.9,27.1,66.0,6.5
2021-02-07 18:00:00,0.0,949.6,26.1,69.0,5.7
2021-02-08 13:00:00,1.0,1162.9,24.6,100.0,3.4
2021-02-08 14:00:00,0.4,1963.3,23.9,100.0,6.6
2021-02-08 15:00:00,0.0,1360.7,25.3,81.0,6.6
2021-02-08 16:00:00,0.0,2712.9,27.2,66.0,4.2
2021-02-08 17:00:00,0.0,3859.2,28.1,59.0,5.7
2021-02-08 18:00:00,0.0,3582.6,27.9,59.0,5.9
2021-02-08 19:00:00,0.0,2955.7,27.6,63.0,5.9
2021-02-09 13:00:00,0.0,2534.4,27.3,60.0,4.0
2021-02-09 14:00:00,0.0,3245.9,27.4,64.0,4.8
2021-02-09 15:00:00,0.0,3399.1,27.3,67.0,4.8
2021-02-09 16:00:00,0.0,1946.6,27.2,65.0,4.7
2021-02-09 17:00:00,0.0,1307.2,26.3,70.0,7.6
2021-02-09 18:00:00,0.0,1146.9,26.3,68.0,7.6
2021-02-09 19:00:00,0.0,1076.3,26.9,65.0,5.6
2021-02-10 13:00:00,0.0,2392.8,27.3,66.0,3.5
2021-02-10 14:00:00,0.0,3121.3,28.0,64.0,4.3
2021-02-10 15:00:00,0.0,3242.5,28.0,67.0,4.9
2021-02-10 16:00:00,0.0,3763.4,28.1,67.0,5.5
2021-02-10 17:00:00,0.0,3297.6,29.0,62.0,6.0
2021-02-10 18:00:00,0.0,3495.1,28.9,65.0,6.3
